IBGE;RS;MUNICÍPIO;MACRO;CASOS;ÓBITOS POR COVID-19;ÓBITOS POR OUTRAS CAUSAS;RECUPERADOS;ATIVOS;EM INVESTIGAÇÃO
4101200;01;Antonina;LESTE;4136;73;0;4042;21;2
4109500;01;Guaraqueçaba;LESTE;1050;19;0;1020;11;0
4109609;01;Guaratuba;LESTE;10398;196;0;10149;53;3
4115705;01;Matinhos;LESTE;7677;155;1;7467;54;2
4116208;01;Morretes;LESTE;3944;58;2;3862;22;3
4118204;01;Paranaguá;LESTE;29704;593;3;28516;592;563
4119954;01;Pontal do Paraná;LESTE;8112;133;0;6816;1163;13
4100202;02;Adrianópolis;LESTE;1849;30;1;1774;44;0
4100301;02;Agudos do Sul;LESTE;1500;34;0;1331;135;0
4100400;02;Almirante Tamandaré;LESTE;15528;450;6;12950;2122;21
4101804;02;Araucária;LESTE;40485;572;1;39832;80;38
4102307;02;Balsa Nova;LESTE;2781;36;0;2301;444;2
4103107;02;Bocaiúva do Sul;LESTE;2972;29;0;2543;400;1
4104006;02;Campina Grande do Sul;LESTE;8590;171;1;7101;1317;4
4104204;02;Campo Largo;LESTE;31296;519;5;29404;1368;12
4104253;02;Campo Magro;LESTE;4773;92;0;4220;461;1
4104105;02;Campo do Tenente;LESTE;661;20;0;630;11;0
4105201;02;Cerro Azul;LESTE;2047;55;0;1942;50;1
4105805;02;Colombo;LESTE;39723;899;5;35592;3227;37
4106209;02;Contenda;LESTE;3710;72;0;3237;401;2
4106902;02;Curitiba;LESTE;245996;8163;26;230719;7088;965
4128633;02;Doutor Ulysses;LESTE;656;8;0;485;163;0
4107652;02;Fazenda Rio Grande;LESTE;23859;497;1;22558;803;27
4111258;02;Itaperuçu;LESTE;4934;126;2;4723;83;1
4113205;02;Lapa;LESTE;8615;142;0;7025;1448;3
4114302;02;Mandirituba;LESTE;5254;104;0;4911;239;2
4119152;02;Pinhais;LESTE;33226;630;5;29672;2919;27
4119509;02;Piraquara;LESTE;18160;352;4;15585;2219;8
4119103;02;Piên;LESTE;2751;32;0;2648;71;1
4120804;02;Quatro Barras;LESTE;5560;107;1;5108;344;9
4121208;02;Quitandinha;LESTE;2220;60;2;2097;61;0
4122206;02;Rio Branco do Sul;LESTE;6612;161;0;6422;29;4
4122305;02;Rio Negro;LESTE;2264;72;0;2180;12;4
4125506;02;São José dos Pinhais;LESTE;52578;1164;3;48651;2760;89
4127601;02;Tijucas do Sul;LESTE;3907;77;0;3810;20;2
4127882;02;Tunas do Paraná;LESTE;1043;23;2;970;48;0
4101606;03;Arapoti;LESTE;5368;70;2;4569;727;0
4104659;03;Carambeí;LESTE;6057;76;0;5888;93;0
4104907;03;Castro;LESTE;18454;264;4;15162;3024;3
4110508;03;Ipiranga;LESTE;2464;32;0;1660;772;0
4111407;03;Ivaí;LESTE;2137;29;0;2068;40;0
4112009;03;Jaguariaíva;LESTE;7324;166;1;7028;129;4
4117701;03;Palmeira;LESTE;7914;100;0;7747;67;67
4119400;03;Piraí do Sul;LESTE;5174;90;1;4104;979;1
4119905;03;Ponta Grossa;LESTE;80137;1471;32;72678;5956;52
4120101;03;Porto Amazonas;LESTE;788;20;0;670;98;1
4126306;03;Sengés;LESTE;3689;62;0;3619;8;0
4125100;03;São João do Triunfo;LESTE;1793;11;0;1117;665;1
4107736;04;Fernandes Pinheiro;LESTE;841;15;0;730;96;0
4108957;04;Guamiranga;LESTE;2190;22;0;2113;55;0
4110102;04;Imbituva;LESTE;7254;124;1;7085;44;0
4110201;04;Inácio Martins;LESTE;2576;21;0;2132;423;0
4110706;04;Irati;LESTE;16258;208;0;15622;428;10
4113908;04;Mallet;LESTE;1886;14;0;1327;545;3
4121505;04;Rebouças;LESTE;3320;46;1;3233;40;0
4122008;04;Rio Azul;LESTE;2599;26;0;1940;633;0
4127007;04;Teixeira Soares;LESTE;1860;16;1;1802;41;3
4103040;05;Boa Ventura de São Roque;LESTE;1066;10;0;733;323;0
4103958;05;Campina do Simão;LESTE;604;15;0;445;144;0
4104428;05;Candói;LESTE;2698;35;0;2062;601;0
4104451;05;Cantagalo;LESTE;1971;35;0;1477;459;0
4108452;05;Foz do Jordão;LESTE;1002;17;0;712;273;0
4108650;05;Goioxim;LESTE;843;8;1;623;211;0
4109401;05;Guarapuava;LESTE;38755;651;4;34367;3733;5
4113254;05;Laranjal;LESTE;733;15;0;694;24;0
4113304;05;Laranjeiras do Sul;LESTE;4595;112;0;3945;538;1
4115457;05;Marquinho;LESTE;922;8;0;644;270;0
4117057;05;Nova Laranjeiras;LESTE;1473;13;2;1439;19;0
4117800;05;Palmital;LESTE;2275;40;0;1853;382;0
4119301;05;Pinhão;LESTE;3499;90;0;3299;110;0
4119608;05;Pitanga;LESTE;8422;61;1;8180;180;0
4120150;05;Porto Barreiro;LESTE;616;6;0;596;14;0
4120606;05;Prudentópolis;LESTE;7949;131;2;7751;65;3
4121752;05;Reserva do Iguaçu;LESTE;1160;11;0;1123;26;0
4122156;05;Rio Bonito do Iguaçu;LESTE;1566;16;0;1492;58;0
4127965;05;Turvo;LESTE;3693;38;0;3534;121;0
4128658;05;Virmond;LESTE;809;8;0;412;389;0
4101309;06;Antônio Olinto;LESTE;1049;16;0;1003;30;0
4102901;06;Bituruna;LESTE;2535;37;0;1967;531;0
4106803;06;Cruz Machado;LESTE;2265;27;0;2210;28;2
4108502;06;General Carneiro;LESTE;1074;42;0;944;88;0
4118600;06;Paula Freitas;LESTE;1115;16;0;1066;33;0
4118709;06;Paulo Frontin;LESTE;902;4;0;564;334;0
4120309;06;Porto Vitória;LESTE;450;9;0;440;1;0
